Date,CustomerID,Region,Product,Quantity,Revenue,Cost,Profit,Feedback
2023-01-01,1153,West,Product D,1,153.88,90.59,63.29,Good quality but shipping took too long.
2023-01-01,1556,South,Product B,11,1043.59,563.32,480.27,Loved it! Exceeded my expectations.
2023-01-01,1733,Central,Product C,9,1853.28,1278.45,574.83,"Great value for money, will buy again."
2023-01-01,1391,Central,Product D,5,700.3,434.09,266.21,Loved it! Exceeded my expectations.
2023-01-01,2019,West,Product E,8,532.04,343.69,188.35,"Not worth the price, quite disappointed."
2023-01-02,1638,West,Product B,5,386.66,230.78,155.88,The delivery was late and support was not helpful.
2023-01-02,2006,West,Product E,3,198.65,101.46,97.19,Loved it! Exceeded my expectations.
2023-01-02,1674,Central,Product E,4,291.28,157.95,133.33,"Customer support resolved my issue quickly, thank you."
2023-01-02,2338,South,Product A,6,837.11,455.34,381.77,Loved it! Exceeded my expectations.
2023-01-02,1888,Central,Product D,3,428.83,227.53,201.3,"Excellent service, very satisfied with the product quality."
2023-01-03,2099,North,Product D,2,322.9,156.67,166.23,"Excellent service, very satisfied with the product quality."
2023-01-03,1168,South,Product A,7,824.03,384.09,439.94,"Average experience, nothing special."
2023-01-03,1886,West,Product E,8,506.52,233.72,272.8,"Great value for money, will buy again."
2023-01-04,2094,East,Product A,2,260.89,142.31,118.58,"Great value for money, will buy again."
2023-01-04,1726,East,Product E,10,617.75,316.67,301.08,"Fantastic product, highly recommend to others."
2023-01-05,1566,East,Product D,2,354.99,243.01,111.98,Loved it! Exceeded my expectations.
2023-01-05,2401,Central,Product A,10,1294.91,644.96,649.95,"Customer support resolved my issue quickly, thank you."
2023-01-05,2437,West,Product E,5,294.59,188.92,105.67,"Not worth the price, quite disappointed."
2023-01-06,2465,North,Product A,13,1741.21,1058.65,682.56,"Great value for money, will buy again."
2023-01-07,2068,Central,Product C,8,1470.86,662.01,808.85,Good quality but shipping took too long.
2023-01-07,2215,North,Product E,4,296.29,192.21,104.08,"Not worth the price, quite disappointed."
2023-01-07,1004,Central,Product A,11,1614.79,993.56,621.23,"Terrible experience, product was damaged."
2023-01-07,2213,North,Product C,10,2038.3,1291.6,746.7,"Terrible experience, product was damaged."
2023-01-08,1283,North,Product B,2,157.52,81.6,75.92,Loved it! Exceeded my expectations.
2023-01-08,1174,East,Product C,3,561.74,340.4,221.34,The delivery was late and support was not helpful.
2023-01-08,1517,Central,Product D,2,347.13,191.71,155.42,Good quality but shipping took too long.
2023-01-09,1137,South,Product A,13,1815.05,1088.45,726.6,Loved it! Exceeded my expectations.
2023-01-09,1338,South,Product D,10,1784.52,1014.33,770.19,"Fantastic product, highly recommend to others."
2023-01-10,1040,West,Product D,12,1857.39,1165.92,691.47,"Great value for money, will buy again."
2023-01-10,2018,North,Product D,14,1945.83,1029.61,916.22,"Excellent service, very satisfied with the product quality."
2023-01-10,2201,West,Product C,13,2940.92,1420.31,1520.61,Good quality but shipping took too long.
2023-01-10,1824,East,Product B,3,245.99,146.09,99.9,Loved it! Exceeded my expectations.
2023-01-11,1937,South,Product D,1,161.69,103.89,57.8,"Average experience, nothing special."
2023-01-11,2011,South,Product A,14,1872.78,921.35,951.43,Good quality but shipping took too long.
2023-01-11,1851,Central,Product A,8,894.21,494.73,399.48,"Not worth the price, quite disappointed."
2023-01-11,1165,North,Product A,9,1176.41,786.89,389.52,"Fantastic product, highly recommend to others."
2023-01-12,1972,North,Product A,7,971.22,637.82,333.4,"Customer support resolved my issue quickly, thank you."
2023-01-12,2204,South,Product B,10,776.0,421.55,354.45,"Customer support resolved my issue quickly, thank you."
2023-01-12,1971,North,Product C,2,377.27,201.64,175.63,"Terrible experience, product was damaged."
2023-01-12,1987,North,Product E,7,480.69,273.35,207.34,Loved it! Exceeded my expectations.
2023-01-12,1376,South,Product C,3,599.98,399.66,200.32,"Great value for money, will buy again."
2023-01-13,1790,North,Product E,1,68.3,40.45,27.85,"Excellent service, very satisfied with the product quality."
2023-01-14,1751,North,Product B,8,768.15,525.76,242.39,"Average experience, nothing special."
2023-01-14,2422,West,Product E,12,803.59,523.84,279.75,"Terrible experience, product was damaged."
2023-01-14,2028,Central,Product E,2,137.92,78.97,58.95,Good quality but shipping took too long.
2023-01-15,1847,East,Product B,8,606.22,327.2,279.02,Good quality but shipping took too long.
2023-01-15,1180,North,Product C,3,663.38,383.69,279.69,The delivery was late and support was not helpful.
2023-01-15,1572,North,Product E,2,122.81,79.82,42.99,"Not worth the price, quite disappointed."
2023-01-16,2210,West,Product A,11,1595.61,818.83,776.78,"Average experience, nothing special."
2023-01-17,1847,South,Product A,10,1335.0,656.4,678.6,"Customer support resolved my issue quickly, thank you."
2023-01-17,2230,West,Product E,2,125.9,62.61,63.29,"Average experience, nothing special."
2023-01-17,2430,West,Product D,3,538.76,376.16,162.6,"Customer support resolved my issue quickly, thank you."
2023-01-17,1117,East,Product D,14,1926.62,1347.62,579.0,Loved it! Exceeded my expectations.
2023-01-18,1127,South,Product B,6,465.29,308.3,156.99,"Terrible experience, product was damaged."
2023-01-18,2135,North,Product C,7,1651.21,979.92,671.29,The delivery was late and support was not helpful.
2023-01-19,1575,East,Product A,14,1891.0,1044.82,846.18,"Fantastic product, highly recommend to others."
2023-01-19,1438,North,Product E,13,925.84,436.19,489.65,The delivery was late and support was not helpful.
2023-01-19,1287,Central,Product D,11,1708.91,1026.1,682.81,"Excellent service, very satisfied with the product quality."
2023-01-19,1888,West,Product B,1,86.52,42.05,44.47,"Fantastic product, highly recommend to others."
2023-01-19,2411,West,Product B,6,500.5,315.59,184.91,Loved it! Exceeded my expectations.
2023-01-20,2491,East,Product A,14,1640.55,938.46,702.09,Good quality but shipping took too long.
2023-01-21,1183,West,Product E,1,63.16,37.3,25.86,"Fantastic product, highly recommend to others."
2023-01-21,2252,East,Product A,3,436.46,277.21,159.25,"Terrible experience, product was damaged."
2023-01-21,2477,South,Product E,2,141.83,66.07,75.76,"Terrible experience, product was damaged."
2023-01-21,1404,East,Product E,10,660.66,407.95,252.71,Good quality but shipping took too long.
2023-01-21,1840,West,Product B,3,259.53,125.91,133.62,"Great value for money, will buy again."
2023-01-21,1162,North,Product D,7,1086.72,606.57,480.15,"Fantastic product, highly recommend to others."
2023-01-22,1292,East,Product B,11,946.03,471.53,474.5,Loved it! Exceeded my expectations.
2023-01-22,2473,South,Product A,4,517.51,333.29,184.22,"Excellent service, very satisfied with the product quality."
